SEP=;
sharps;0;1;2;3;4;5;6;7;8;9
[0, 5];1350;1437;1419;1424;1425;1421;1424;1440;1440;1442
[5, 10];718;706;708;723;728;749;743;727;724;716
[10, 15];488;482;470;453;464;462;460;460;461;464
[15, 20];311;295;304;290;285;283;282;284;290;285
[20, 25];195;209;204;210;220;210;213;217;212;218
[25, 30];144;123;139;148;131;135;129;127;126;124
[30, 35];95;103;86;85;80;80;81;80;79;76
[35, 40];98;87;80;77;76;75;77;79;79;82
[40, 45];81;72;72;65;60;60;57;57;56;55
[45, 50];59;54;53;52;58;55;55;55;57;59
[50, 55];35;34;32;31;34;32;32;31;31;30
[55, 60];25;23;26;28;25;24;25;26;26;25
[60, 65];21;15;15;15;17;16;15;15;16;16
[65, 70];17;11;13;13;12;11;11;11;11;11
[70, 75];8;9;6;7;6;6;5;5;5;5
[75, 80];9;7;8;6;6;6;6;6;6;7
[80, 85];7;9;5;6;5;5;4;4;5;4
[85, 90];6;4;6;5;5;4;7;7;8;7
[90, 100];9;8;7;4;3;5;5;5;5;5
[100, 120];3;2;2;4;3;2;2;2;2;2
[120, 140];0;1;2;2;2;1;1;1;1;1
[140, 160];2;1;2;2;1;1;1;1;1;1
[160, 180];3;3;2;2;2;2;2;2;2;2
[180, 10];0;0;0;0;0;0;0;0;0;0
