depares;0;1;2;3
total;134327,136;134349,762;134342,137;134341,097
0;233,856;203,889;190,961;184,494
1;687,489;689,692;690,628;692,285
2;454,944;473,212;473,969;476,948
3;2513,154;2465,755;2457,011;2454,393
4;2577,023;2591,038;2587,102;2583,442
5;2498,259;2416,897;2401,669;2390,126
6;6017,671;6100,341;6132,641;6149,636
7;9035,16;9133,112;9174,702;9187,851
8;29562,328;29505,94;29470,205;29461,411
9;70586,144;70564,75;70529,83;70523,309
10;4744,893;4794,236;4830,581;4836,433
11;2645,455;2662,002;2659,829;2662,485
12;1457,19;1446,292;1443,97;1440,064
13;1313,57;1302,606;1299,039;1298,22
14;0;0;0;0
15;0;0;0;0
16;0;0;0;0
