SEP=;
depares;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
total;134327,136;134524,886;134644,74;134753,754;134838,218;134914,593;134977,023;135032,37;135080,074;135122,547;135160,264;135195,011;135225,421;135252,738;135279,157;135301,604;135322,048;135341,088;135358,288;135374,757;135389,397;135403,182;135415,843;135427,969;135439,543;135450,137;135459,794;135469,183;135479,045;135488,95;135499,455;135509,397;135518,929;135529,192;135539,37;135548,76;135558,345;135567,557;135576,45;135586,168;135596,219;135606,856;135616,607;135626,37;135636,372;135646,217;135655,692;135665,175;135674,596;135683,248;135692,186;135700,72;135710,216;135719,305;135728,935;135738,064;135747,132;135756,26;135765,187;135774,364;135785,135;135794,634;135803,801;135813,902;135823,41;135833,771;135844,469;135855,335;135866,329;135877,586;135888,476;135899,333;135910,644;135921,172;135932,48;135943,702;135955,236;135966,583;135978,118;135990,313;136002,024;136014,083;136025,745;136037,884;136050,049;136062,118;136074,093;136087,454;136100,519;136113,696;136128,446;136142,395;136156,932;136170,528;136184,326;136198,604;136213,582;136229,536;136243,404;136257,464;136271,401
0;233,856;233,89;234,253;234,38;234,559;234,636;234,744;234,834;234,896;234,953;235,013;235,07;235,128;235,169;235,208;235,252;235,286;235,325;235,371;235,399;235,441;235,479;235,504;235,552;235,599;235,634;235,674;235,71;235,754;235,795;235,835;235,861;235,905;235,941;235,976;236,001;236,03;236,072;236,089;236,131;236,156;236,174;236,213;236,241;236,271;236,294;236,307;236,354;236,367;236,391;236,412;236,447;236,462;236,481;236,508;236,532;236,55;236,575;236,591;236,611;236,632;236,654;236,677;236,685;236,718;236,736;236,753;236,763;236,79;236,802;236,817;236,841;236,858;236,878;236,894;236,9;236,923;236,934;236,963;236,972;236,988;237,005;237,026;237,046;237,053;237,062;237,071;237,092;237,095;237,113;237,138;237,151;237,165;237,167;237,183;237,192;237,201;237,234;237,237;237,246;237,263
1;687,489;687,911;689,063;689,672;690,51;691,085;691,709;692,158;692,691;693,11;693,564;693,969;694,433;694,874;695,28;695,68;696,063;696,42;696,816;697,182;697,535;697,894;698,25;698,58;698,915;699,303;699,685;700,042;700,39;700,745;701,103;701,422;701,761;702,097;702,408;702,767;703,066;703,383;703,704;704,014;704,34;704,643;704,908;705,239;705,516;705,775;706,114;706,362;706,67;706,953;707,256;707,508;707,788;708,074;708,35;708,636;708,917;709,155;709,423;709,683;709,957;710,219;710,472;710,774;711,007;711,248;711,51;711,785;712,01;712,284;712,596;712,868;713,129;713,417;713,705;713,996;714,249;714,595;714,824;715,099;715,349;715,681;715,935;716,19;716,492;716,757;717,032;717,239;717,556;717,781;718,037;718,285;718,551;718,819;719,041;719,299;719,58;719,807;720,065;720,276;720,593
2;454,944;459,37;461,427;462,711;464,071;465,239;466,447;467,464;468,459;469,378;470,322;471,047;471,834;472,505;473,291;473,897;474,669;475,27;475,981;476,601;477,202;477,916;478,518;479,149;479,844;480,55;481,163;481,812;482,49;483,093;483,735;484,34;485,009;485,604;486,244;486,852;487,532;488,129;488,711;489,304;489,871;490,464;491,135;491,66;492,275;492,88;493,41;494,056;494,577;495,16;495,694;496,334;496,863;497,423;497,97;498,576;499,11;499,69;500,249;500,828;501,376;502,015;502,575;503,143;503,785;504,321;504,915;505,406;506,062;506,609;507,141;507,726;508,306;508,841;509,476;510,004;510,606;511,068;511,706;512,278;512,842;513,395;513,958;514,518;515,07;515,601;516,163;516,703;517,231;517,78;518,267;518,88;519,383;519,888;520,448;521,015;521,539;522,044;522,647;523,208;523,624
3;2513,154;2524,566;2536,112;2545,024;2553,624;2560,662;2567,668;2574,015;2580,386;2586,278;2592,016;2597,511;2602,693;2607,564;2612,404;2617,065;2621,554;2626,106;2630,48;2634,81;2639,105;2643,301;2647,45;2651,538;2655,503;2659,4;2663,359;2667,173;2670,987;2674,851;2678,689;2682,574;2686,344;2690,261;2694,072;2697,824;2701,663;2705,458;2709,238;2713,013;2716,733;2720,495;2724,138;2727,765;2731,416;2735,04;2738,76;2742,344;2746,122;2749,86;2753,699;2757,444;2761,419;2765,345;2769,376;2773,206;2777,279;2781,154;2785,126;2789,076;2793,01;2796,857;2800,775;2804,663;2808,543;2812,458;2816,273;2820,278;2824,061;2827,908;2831,739;2835,555;2839,386;2843,162;2846,915;2850,604;2854,424;2858,116;2861,817;2865,513;2869,141;2872,751;2876,373;2880,015;2883,542;2887,236;2890,69;2894,255;2897,763;2901,33;2904,708;2908,168;2911,581;2915,012;2918,434;2921,79;2925,226;2928,712;2932,04;2935,426;2938,909
4;2577,023;2622,525;2651,273;2672,876;2690,989;2707,076;2721,323;2734,819;2747,054;2758,788;2769,719;2780,306;2790,351;2800,422;2809,798;2819,224;2828,429;2837,738;2846,8;2855,855;2864,913;2873,844;2882,894;2891,746;2900,638;2909,403;2918,196;2927,091;2935,797;2944,805;2953,805;2962,806;2971,795;2980,759;2989,798;2998,948;3008,033;3017,248;3026,345;3035,464;3044,419;3053,463;3062,307;3071,331;3080,162;3089,086;3097,942;3106,749;3115,368;3124,007;3132,646;3141,437;3150,083;3158,559;3167,048;3175,682;3184,083;3192,633;3201,055;3209,438;3217,801;3225,925;3234,105;3242,417;3250,368;3258,703;3266,802;3274,785;3282,85;3290,803;3298,598;3306,49;3314,166;3321,962;3329,492;3337,186;3344,707;3352,045;3359,476;3366,726;3374,266;3381,486;3388,813;3396,102;3403,155;3410,182;3417,368;3424,49;3431,244;3437,995;3445,12;3451,722;3458,539;3465,189;3472,024;3478,574;3485,283;3491,728;3498,176;3504,93;3511,277
5;2498,259;2528,284;2552,416;2575,519;2596,8;2617,743;2638,224;2658,435;2677,961;2697,591;2715,866;2734,313;2752,491;2770,764;2788,248;2806,146;2823,453;2840,752;2857,698;2874,506;2891,384;2908,064;2924,491;2940,544;2956,516;2972,316;2988,285;3003,933;3019,204;3035,066;3050,933;3066,614;3081,916;3097,266;3112,556;3128,465;3143,886;3159,239;3174,541;3189,84;3206,295;3221,58;3237,113;3252,349;3267,676;3282,739;3298,046;3313,146;3327,781;3342,497;3357,273;3372,182;3386,955;3401,291;3415,717;3429,686;3443,584;3457,353;3471,361;3484,688;3498,206;3511,383;3524,657;3537,705;3551,259;3563,847;3576,325;3588,363;3600,244;3612,059;3623,644;3635,663;3647,332;3658,382;3670,124;3681,45;3692,121;3703,231;3714,334;3725,296;3735,846;3746,836;3756,905;3767,187;3777,517;3787,211;3798,081;3807,864;3817,787;3827,31;3836,893;3846,234;3855,403;3864,815;3873,582;3882,525;3890,911;3900,043;3909,131;3917,548;3925,914
6;6017,671;6306,58;6461,328;6602,64;6727,541;6844,719;6955,682;7061,602;7164,192;7263,013;7358,927;7451,747;7542,593;7632,486;7720,036;7804,658;7888,39;7970,447;8050,094;8128,409;8205,58;8281,644;8356,786;8430,97;8505,429;8579,174;8650,2;8718,111;8785,308;8848,548;8909,874;8969,251;9027,738;9085,155;9140,302;9193,722;9245,988;9297,588;9348,236;9398,317;9446,708;9495,151;9543,437;9590,31;9638,409;9684,352;9729,448;9774,103;9818,214;9861,5;9905,946;9947,201;9987,631;10027,582;10066,832;10104,385;10142,359;10181,171;10217,034;10252,085;10286,867;10320,829;10353,592;10386,364;10418,774;10449,242;10479,992;10512,993;10544,162;10576,771;10605,748;10634,006;10666,33;10696,191;10725,168;10753,554;10782,247;10809,681;10836,121;10862,774;10888,415;10915,201;10939,871;10964,313;10987,712;11010,927;11032,737;11054,587;11076,924;11098,622;11120,783;11142,306;11162,621;11183,036;11202,799;11222,31;11241,819;11261,106;11280,26;11300,51;11320,665
7;9035,16;9601,016;9954,507;10299,254;10585,24;10857,243;11112,322;11353,061;11561,776;11762,463;11946,444;12118,665;12277,737;12424,238;12563,994;12699,47;12827,343;12950,122;13071,372;13186,238;13297,813;13402,563;13501,676;13598,323;13688,385;13773,315;13854,154;13939,961;14018,924;14102,559;14184,753;14268,846;14347,217;14427,111;14502,889;14580,7;14656,543;14731,198;14804,847;14877,348;14948,871;15020,432;15088,914;15156,815;15221,039;15285,249;15347,118;15407,269;15466,287;15523,528;15577,153;15631,647;15685,34;15738,479;15789,605;15842,284;15895,213;15947,253;15997,918;16044,718;16089,331;16135,851;16181,199;16224,736;16266,68;16308,88;16350,173;16387,704;16425,282;16459,95;16495,958;16531,235;16560,451;16591,062;16620,619;16650,824;16680,225;16709,122;16737,612;16766,014;16793,477;16820,186;16847,665;16875,32;16903,645;16931,229;16957,78;16984,434;17009,887;17035,433;17058,69;17082,804;17109,008;17134,607;17160,527;17186,011;17210,687;17233,987;17260,197;17284,546;17308,73
8;29562,328;28907,572;28633,425;28382,839;28205,178;28059,596;27930,635;27819,917;27746,011;27676,288;27625,562;27584,169;27557,854;27535,36;27519,429;27504,697;27493,866;27485,844;27473,172;27464,978;27455,178;27452,178;27450,593;27452,304;27453,618;27458,626;27464,1;27467,438;27477,178;27484,115;27500,925;27509,962;27526,512;27538,759;27555,185;27571,588;27594,218;27612,728;27639,079;27662,588;27685,33;27708,063;27732,862;27758,187;27784,403;27808,625;27832,152;27862,688;27894,68;27927,379;27958,474;27990,884;28022,991;28052,38;28080,912;28106,934;28130,608;28151,986;28174,483;28199,488;28223,858;28244,682;28264,881;28284,504;28302,88;28321,065;28340,833;28362,304;28383,981;28405,406;28425,702;28443,607;28460,621;28477,203;28494,312;28509,056;28522,385;28537,545;28560,437;28578,93;28599,487;28618,161;28637,581;28655,629;28673,473;28691,423;28713,782;28740,455;28763,545;28785,838;28808,486;28828,822;28845,539;28861,419;28885,688;28901,061;28917,152;28931,617;28944,129;28955,415;28966,317
9;70586,144;70684,18;70604,093;70512,97;70397,629;70263,098;70125,125;69978,245;69825,937;69673,224;69518,556;69365,481;69210,766;69062,154;68916,181;68771,775;68630,917;68491,631;68356,07;68220,942;68089,503;67960,243;67834,396;67707,024;67586,134;67466,934;67352,01;67237,416;67122,966;67005,965;66873,965;66749,928;66625,034;66504,78;66386,0;66264,937;66134,471;65999,499;65850,018;65699,475;65551,68;65405,935;65259,983;65116,175;64974,099;64836,326;64702,1;64563,304;64425,458;64288,646;64156,152;64024,038;63895,016;63770,25;63649,312;63531,167;63414,688;63301,099;63190,094;63082,461;62979,274;62878,195;62779,52;62684,451;62591,838;62502,575;62413,125;62324,117;62237,042;62152,222;62070,843;61992,901;61918,669;61845,766;61774,471;61705,858;61639,918;61573,545;61500,582;61432,722;61364,128;61297,127;61230,558;61165,44;61101,029;61037,463;60970,557;60901,204;60835,894;60771,957;60710,478;60650,458;60593,674;60536,853;60472,448;60417,941;60364,333;60314,409;60261,312;60210,79;60161,078
