sharps;0;1;2;3
[0, 0.087];1522;2968;5823;11427
[0.087, 0.175];657;1185;1985;2453
[0.175, 0.262];422;735;809;904
[0.262, 0.349];273;393;468;439
[0.349, 0.436];218;240;297;269
[0.436, 0.524];170;185;213;164
[0.524, 0.611];131;124;109;106
[0.611, 0.698];103;98;84;82
[0.698, 0.785];76;68;76;67
[0.785, 0.873];70;55;30;50
[0.873, 0.96];65;24;40;42
[0.96, 1.047];35;28;23;34
[1.047, 1.134];25;17;16;24
[1.134, 1.222];20;21;15;19
[1.222, 1.309];14;13;8;10
[1.309, 1.396];12;9;8;13
[1.396, 1.484];11;12;9;11
[1.484, 1.571];6;9;9;13
[1.571, 1.745];8;14;16;11
[1.745, 2.094];3;16;17;16
[2.094, 2.443];1;9;10;7
[2.443, 2.793];3;1;3;5
[2.793, 3.142];4;2;2;4
[3.142, 10];0;0;0;0
