SEP=;
sharps;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
[0, 0.087];1522;1481;1543;1525;1532;1571;1555;1572;1575;1575;1593;1607;1619;1631;1642;1648;1651;1666;1647;1658;1656;1677;1687;1686;1698;1699;1711;1716;1716;1716;1716;1728;1743;1762;1770;1788;1794;1796;1799;1796;1790;1797;1783;1788;1793;1788;1773;1794;1803;1803;1813;1809;1809;1801;1801;1794;1787;1784;1793;1773;1790;1790;1778;1785;1775;1774;1763;1764;1761;1764;1760;1764;1771;1768;1781;1775;1771;1759;1766;1761;1768;1768;1793;1785;1786;1770;1777;1784;1794;1802;1809;1806;1812;1812;1804;1813;1800;1811;1813;1820;1822
[0.087, 0.175];657;725;710;755;773;792;800;794;794;799;805;800;795;825;806;809;810;784;790;773;782;767;777;771;775;779;774;769;767;769;750;752;744;742;731;716;711;701;688;695;687;688;689;694;678;684;688;681;674;675;668;662;662;670;667;666;658;659;656;676;660;677;667;663;668;671;678;677;679;683;682;679;686;681;669;676;666;685;680;688;688;680;672;672;675;676;681;682;681;671;661;668;671;662;667;658;672;657;662;667;658
[0.175, 0.262];422;487;484;468;455;457;457;448;441;446;430;423;418;400;391;402;395;394;393;389;389;386;376;372;370;362;364;366;362;365;375;363;360;349;351;340;348;344;344;338;337;336;338;331;336;338;343;333;335;341;336;338;340;334;325;325;331;328;332;321;327;306;319;320;323;325;319;315;317;320;323;318;314;318;316;319;331;328;321;313;318;324;321;316;322;320;315;318;307;307;310;300;295;304;302;299;296;290;303;287;291
[0.262, 0.349];273;311;292;311;282;266;269;253;261;247;228;231;226;217;219;225;218;214;216;224;224;220;213;221;223;220;218;221;211;207;213;213;206;213;202;217;212;217;207;219;224;218;213;214;218;211;218;221;214;211;218;220;221;220;225;219;219;220;219;219;217;212;213;212;206;203;214;211;216;216;212;214;216;212;217;213;211;206;204;213;207;202;190;191;185;188;185;188;178;185;187;188;189;182;187;191;183;189;182;184;187
[0.349, 0.436];218;196;210;177;207;178;176;180;185;182;189;178;172;183;171;171;172;170;169;155;160;161;159;153;152;155;150;147;149;146;137;143;147;139;140;140;137;129;132;121;119;119;124;130;127;131;125;115;119;118;118;116;115;117;121;115;121;118;118;117;122;124;121;122;125;125;118;118;113;110;109;106;106;106;100;103;109;106;108;100;103;101;104;103;104;110;109;101;106;102;104;102;96;99;94;92;89;92;91;88;89
[0.436, 0.524];170;146;127;144;127;131;124;121;115;110;111;108;107;95;107;102;100;107;99;105;100;95;102;99;96;89;90;90;93;88;87;79;78;81;87;83;84;85;88;83;85;83;81;77;81;73;73;74;75;75;72;67;71;70;65;68;71;69;66;74;73;69;67;69;69;66;65;63;64;63;64;61;63;59;59;56;57;59;56;57;56;58;55;54;57;58;57;54;59;54;54;55;58;60;57;57;61;62;53;60;54
[0.524, 0.611];131;96;103;82;88;77;74;71;77;80;85;83;85;83;82;78;76;72;71;66;66;68;63;61;59;64;59;54;54;55;50;48;50;46;46;45;45;46;46;51;50;52;49;52;51;51;53;51;51;51;50;51;48;49;48;52;46;47;46;43;39;39;38;38;39;37;37;39;36;37;40;36;36;38;40;39;39;41;40;39;41;39;40;45;41;39;40;39;38;41;40;43;39;38;42;39;39;37;39;38;37
[0.611, 0.698];103;98;87;71;76;67;66;72;60;64;55;53;48;48;52;44;42;36;35;39;37;38;41;41;39;40;41;41;41;40;42;42;37;39;37;38;39;40;39;36;38;39;39;40;36;39;37;35;36;33;33;38;40;38;36;37;42;39;37;40;37;40;42;38;38;38;38;37;38;39;40;41;40;37;37;40;42;37;36;36;37;34;30;32;30;33;30;31;30;29;30;32;30;30;28;31;31;31;30;27;29
[0.698, 0.785];76;79;71;74;56;58;52;48;52;45;48;45;46;44;38;39;41;39;37;38;38;35;32;32;32;31;29;32;34;30;28;29;29;28;28;29;28;27;32;32;29;29;32;31;32;34;33;36;36;35;35;33;33;32;32;33;32;32;34;32;33;31;32;33;33;32;32;33;34;33;33;36;35;36;37;35;35;33;35;33;34;35;37;36;38;37;38;38;37;38;38;36;38;36;40;40;37;36;35;38;35
[0.785, 0.873];70;61;54;54;50;53;52;53;46;47;43;41;44;40;37;39;34;38;40;37;36;38;39;42;40;41;38;35;35;36;38;40;39;39;37;37;39;38;32;32;32;32;31;34;33;35;33;33;33;33;36;36;35;35;35;32;34;32;31;32;32;33;32;31;30;30;31;31;31;30;31;31;30;32;30;30;29;30;33;32;30;30;32;31;31;31;29;28;28;28;28;27;26;28;27;26;29;26;25;26;26
[0.873, 0.96];65;35;35;27;29;33;31;23;24;24;25;27;24;23;29;25;26;19;20;22;22;20;20;19;19;21;22;22;23;23;23;20;20;18;19;19;19;21;20;21;22;21;21;18;21;20;20;20;18;18;18;18;18;18;19;19;18;18;17;17;16;14;14;16;15;14;14;16;14;14;14;13;13;12;13;13;13;13;15;16;17;17;16;16;15;14;15;14;15;14;16;15;16;16;17;19;19;18;17;16;17
