iteration;stat;counter
0;conflicting_iso_vertices;0
0;conflicting_triangles;0
0;extended_conflicting_triangles;0
0;vertices_to_smooth;5526
0;updated_vertices;2244
0;conflicting_sharp_vertices;0
0;conflicting_spur_vertices;0
0;conflicting_gully_vertices;0
0;conflicting_sharp_triangles;0
0;conflicting_spur_triangles;0
0;conflicting_gully_triangles;0
1;conflicting_iso_vertices;0
1;conflicting_triangles;0
1;extended_conflicting_triangles;0
1;vertices_to_smooth;5526
1;updated_vertices;2557
1;conflicting_sharp_vertices;0
1;conflicting_spur_vertices;0
1;conflicting_gully_vertices;0
1;conflicting_sharp_triangles;0
1;conflicting_spur_triangles;0
1;conflicting_gully_triangles;0
2;conflicting_iso_vertices;284
2;conflicting_triangles;329
2;extended_conflicting_triangles;1628
2;vertices_to_smooth;1226
2;updated_vertices;745
2;conflicting_sharp_vertices;14
2;conflicting_spur_vertices;126
2;conflicting_gully_vertices;144
2;conflicting_sharp_triangles;23
2;conflicting_spur_triangles;155
2;conflicting_gully_triangles;183
3;conflicting_iso_vertices;185
3;conflicting_triangles;219
3;extended_conflicting_triangles;1126
3;vertices_to_smooth;873
3;updated_vertices;478
3;conflicting_sharp_vertices;12
3;conflicting_spur_vertices;78
3;conflicting_gully_vertices;95
3;conflicting_sharp_triangles;21
3;conflicting_spur_triangles;97
3;conflicting_gully_triangles;118
4;conflicting_iso_vertices;164
4;conflicting_triangles;199
4;extended_conflicting_triangles;1041
4;vertices_to_smooth;815
4;updated_vertices;436
4;conflicting_sharp_vertices;13
4;conflicting_spur_vertices;74
4;conflicting_gully_vertices;77
4;conflicting_sharp_triangles;23
4;conflicting_spur_triangles;93
4;conflicting_gully_triangles;96
5;conflicting_iso_vertices;146
5;conflicting_triangles;170
5;extended_conflicting_triangles;877
5;vertices_to_smooth;683
5;updated_vertices;304
5;conflicting_sharp_vertices;9
5;conflicting_spur_vertices;65
5;conflicting_gully_vertices;72
5;conflicting_sharp_triangles;16
5;conflicting_spur_triangles;81
5;conflicting_gully_triangles;92
6;conflicting_iso_vertices;126
6;conflicting_triangles;153
6;extended_conflicting_triangles;780
6;vertices_to_smooth;608
6;updated_vertices;264
6;conflicting_sharp_vertices;8
6;conflicting_spur_vertices;52
6;conflicting_gully_vertices;66
6;conflicting_sharp_triangles;14
6;conflicting_spur_triangles;65
6;conflicting_gully_triangles;85
7;conflicting_iso_vertices;95
7;conflicting_triangles;121
7;extended_conflicting_triangles;672
7;vertices_to_smooth;537
7;updated_vertices;203
7;conflicting_sharp_vertices;8
7;conflicting_spur_vertices;37
7;conflicting_gully_vertices;50
7;conflicting_sharp_triangles;14
7;conflicting_spur_triangles;47
7;conflicting_gully_triangles;64
8;conflicting_iso_vertices;96
8;conflicting_triangles;123
8;extended_conflicting_triangles;674
8;vertices_to_smooth;534
8;updated_vertices;201
8;conflicting_sharp_vertices;8
8;conflicting_spur_vertices;33
8;conflicting_gully_vertices;55
8;conflicting_sharp_triangles;14
8;conflicting_spur_triangles;42
8;conflicting_gully_triangles;71
9;conflicting_iso_vertices;104
9;conflicting_triangles;128
9;extended_conflicting_triangles;679
9;vertices_to_smooth;536
9;updated_vertices;197
9;conflicting_sharp_vertices;8
9;conflicting_spur_vertices;43
9;conflicting_gully_vertices;53
9;conflicting_sharp_triangles;14
9;conflicting_spur_triangles;54
9;conflicting_gully_triangles;68
