process;interval;aandeel;intervalindex
newnew routing;[0, 5];0.3965;0
newnew routing;[5, 10];0.1969;1
newnew routing;[10, 15];0.1276;2
newnew routing;[15, 20];0.0784;3
newnew routing;[20, 25];0.0599;4
newnew routing;[25, 30];0.0341;5
newnew routing;[30, 35];0.0209;6
newnew routing;[35, 40];0.0225;7
newnew routing;[40, 45];0.0151;8
newnew routing;[45, 50];0.0162;9
newnew routing;[50, 55];0.0082;10
newnew routing;[55, 60];0.0069;11
newnew routing;[60, 65];0.0044;12
newnew routing;[65, 70];0.003;13
newnew routing;[70, 75];0.0014;14
newnew routing;[75, 80];0.0019;15
newnew routing;[80, 85];0.0011;16
newnew routing;[85, 90];0.0019;17
newnew routing;[90, 100];0.0014;18
newnew routing;[100, 120];0.0005;19
newnew routing;[120, 140];0.0003;20
newnew routing;[140, 160];0.0003;21
newnew routing;[160, 180];0.0005;22
newnew routing;[180, 10];0.0;23
