iteration;stat;counter
0;conflicting_iso_vertices;226
0;conflicting_triangles;241
0;extended_conflicting_triangles;1216
0;vertices_to_smooth;940
0;updated_vertices;405
0;conflicting_sharp_vertices;17
0;conflicting_spur_vertices;89
0;conflicting_gully_vertices;120
0;conflicting_sharp_triangles;27
0;conflicting_spur_triangles;108
0;conflicting_gully_triangles;149
1;conflicting_iso_vertices;180
1;conflicting_triangles;210
1;extended_conflicting_triangles;1022
1;vertices_to_smooth;782
1;updated_vertices;341
1;conflicting_sharp_vertices;11
1;conflicting_spur_vertices;78
1;conflicting_gully_vertices;91
1;conflicting_sharp_triangles;19
1;conflicting_spur_triangles;99
1;conflicting_gully_triangles;116
2;conflicting_iso_vertices;149
2;conflicting_triangles;186
2;extended_conflicting_triangles;924
2;vertices_to_smooth;710
2;updated_vertices;308
2;conflicting_sharp_vertices;10
2;conflicting_spur_vertices;61
2;conflicting_gully_vertices;78
2;conflicting_sharp_triangles;18
2;conflicting_spur_triangles;74
2;conflicting_gully_triangles;100
3;conflicting_iso_vertices;163
3;conflicting_triangles;179
3;extended_conflicting_triangles;854
3;vertices_to_smooth;655
3;updated_vertices;271
3;conflicting_sharp_vertices;11
3;conflicting_spur_vertices;60
3;conflicting_gully_vertices;92
3;conflicting_sharp_triangles;19
3;conflicting_spur_triangles;75
3;conflicting_gully_triangles;111
4;conflicting_iso_vertices;123
4;conflicting_triangles;141
4;extended_conflicting_triangles;730
4;vertices_to_smooth;576
4;updated_vertices;210
4;conflicting_sharp_vertices;10
4;conflicting_spur_vertices;46
4;conflicting_gully_vertices;67
4;conflicting_sharp_triangles;18
4;conflicting_spur_triangles;58
4;conflicting_gully_triangles;82
